date,portfolio_value,cash,shares_held,trade_type,trade_shares,trade_price
2023-12-11,99900.10045322105,0.5536742717085872,92429,Buy,92429,1.0808247063037504
2023-12-12,100764.31249901965,0.5536742717085872,92429,Buy,0,1.0901747159954986
2023-12-13,102600.01754708722,0.5536742717085872,92429,Buy,0,1.110035420407183
2023-12-14,102684.75187865243,0.5536742717085872,92429,Buy,0,1.110952170902863
2023-12-15,102379.72564861026,0.5536742717085872,92429,Buy,0,1.1076520569771235
2023-12-18,101430.80531663528,0.5536742717085872,92429,Buy,0,1.0973855785777578
2023-12-19,102023.89354681401,0.5536742717085872,92429,Buy,0,1.1038022684713922
2023-12-20,100832.09128247554,0.5536742717085872,92429,Buy,0,1.0909080224626884
2023-12-21,100747.35695091035,0.5536742717085872,92429,Buy,0,1.0899912719670086
2023-12-22,100137.33921801107,0.5536742717085872,92429,Buy,0,1.083391419832946
2023-12-26,99826.68718398793,0.5536742717085872,92429,Buy,0,1.080030439685772
2023-12-27,99883.16226870428,0.5536742717085872,92429,Buy,0,1.0806414501339685
2023-12-28,100126.05288286405,0.5536742717085872,92429,Buy,0,1.0832693116726606
2023-12-29,99532.95597088902,0.5536742717085872,92429,Buy,0,1.0768525278496717
2024-01-02,95641.25397627689,0.5536742717085872,92429,Buy,0,1.0347477555962434
2024-01-03,94856.14177626623,0.5536742717085872,92429,Buy,0,1.0262535362493863
2024-01-04,93534.43379438577,0.5536742717085872,92429,Buy,0,1.0119538253157998
2024-01-05,93122.08319889184,0.5536742717085872,92429,Buy,0,1.0074925567151016
2024-01-08,95596.07390850381,0.5536742717085872,92429,Buy,0,1.0342589472376862
2024-01-09,95358.84382551008,0.5536742717085872,92429,Buy,0,1.031692327637845
2024-01-10,95951.92337389258,0.5536742717085872,92429,Buy,0,1.0381089236021257
2024-01-11,95613.02077481682,0.5536742717085872,92429,Buy,0,1.034442297336822
2024-01-12,95799.41025887146,0.5536742717085872,92429,Buy,0,1.0364588666392556
2024-01-16,94505.94416024727,0.5536742717085872,92429,Buy,0,1.022464707894444
2024-01-17,93969.33969658116,0.5536742717085872,92429,Buy,0,1.01665912237836
2024-01-18,97330.11512228569,0.5536742717085872,92429,Buy,0,1.053019738913263
2024-01-19,98985.08253566839,0.5536742717085872,92429,Buy,0,1.0709250220320103
2024-01-22,100301.1299863829,0.5536742717085872,92429,Buy,0,1.085163491026747
2024-01-23,101029.78446526968,0.5536742717085872,92429,Buy,0,1.093046887784115
2024-01-24,100645.69311662465,0.5536742717085872,92429,Buy,0,1.0888913592309009
2024-01-25,100459.29495077374,0.5536742717085872,92429,Buy,0,1.0868746959991131
2024-01-26,99470.84640039546,0.5536742717085872,92429,Buy,0,1.076180557250687
2024-01-29,99081.09452058435,0.5536742717085872,92429,Buy,0,1.0719637867586216
2024-01-30,96996.8556907835,0.5536742717085872,92429,Buy,0,1.0494141667281025
2024-01-31,94940.8674260352,0.5536742717085872,92429,Buy,0,1.0271701928157124
2024-02-01,96330.36287316786,0.5536742717085872,92429,Buy,0,1.0422033041458434
2024-02-02,95759.8733586719,0.5536742717085872,92429,Buy,0,1.0360311123608412
2024-02-05,96793.51065861958,0.5536742717085872,92429,Buy,0,1.047214153397179
2024-02-06,97708.56330335727,0.5536742717085872,92429,Buy,0,1.057114213386335
2024-02-07,97770.69023744337,0.5536742717085872,92429,Buy,0,1.057786371844028
2024-02-08,97155.01197337806,0.5536742717085872,92429,Buy,0,1.0511252777711146
2024-02-09,97590.49955592332,0.5536742717085872,92429,Buy,0,1.0558368681003971
2024-02-12,96629.05139193518,0.5536742717085872,92429,Buy,0,1.045434849643115
2024-02-13,95435.71244965743,0.5536742717085872,92429,Buy,0,1.0325239781387412
2024-02-14,94932.38531108241,0.5536742717085872,92429,Buy,0,1.0270784238367905
2024-02-15,94768.36881600763,0.5536742717085872,92429,Buy,0,1.0253039104797836
2024-02-16,93891.7591651399,0.5536742717085872,92429,Buy,0,1.01581976967043
2024-02-20,93467.59264492667,0.5536742717085872,92429,Buy,0,1.0112306632188486
2024-02-21,93897.41969630594,0.5536742717085872,92429,Buy,0,1.015881011609281
2024-02-22,95056.81281517996,0.5536742717085872,92429,Buy,0,1.0284246193392577
2024-02-23,94010.54350166394,0.5536742717085872,92429,Buy,0,1.0171049110927548
2024-02-26,93241.37107959941,0.5536742717085872,92429,Buy,0,1.0087831460399626
2024-02-27,94072.7485719165,0.5536742717085872,92429,Buy,0,1.0177779149146349
2024-02-28,93388.4233447686,0.5536742717085872,92429,Buy,0,1.010374121439125
2024-02-29,93009.49766490236,0.5536742717085872,92429,Buy,0,1.0062744808515796
2024-03-01,92393.05540276555,0.5536742717085872,92429,Buy,0,0.9996051209955084
2024-03-04,89814.12782167525,0.5536742717085872,92429,Buy,0,0.9717034063703334
